"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"number_of_resistors";"1";"";
"power_rating_w";"0.1";"";
"packaging_method";"Taped & Reeled";"";
"packaging";"1000 REEL";"";
"resistance_xx";"53K6";"";
"TraceParts.PartLanguage";"en";"";
"SUPPLIER";"TE Connectivity";"";
"REFERENCE";"1676371-2";"";
"l_mm";"2.00+/-0.15 ";"";
"voltage_rating_v";"100";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"SMD High Power Precision Resistors - Type RN73 Series";"";
"DESIGN";"RN 0805 53K6 0.1% 10PPM 1KRL - RN73C2A53K6BTDF";"";
"w_mm";"1.25+/-0.15 ";"";
"operating_temperature_range";"-55°C to +155°C";"";
"TraceParts.PartVersion";"1.1.0";"";
"TraceParts.PartNumber";"10-26062018-112927";"";
"temperature_coefficient_ppm_c";"±10";"";
"resistance_range";"4R3 - 511K";"";
"termination_type";"Solder";"";
"d_mm";"0.30+/-0.20 ";"";
"resistor_type";"Precision Resistor";"";
"h_mm";"0.55+/-0.10 ";"";
"size_code";"0805";"";
"TRACEPARTS";"TRACEPARTS";"";
"Alias_2";"";"";
"Alias_1";"RN73C2A53K6BTDF";"";
"tolerance_percent";"0,1";"";
"TraceParts.ClassPath";"TE_CONNECTIVITY_GLOBAL:10-26062018-112927";"";
"TraceParts.InstanceId";"10-26062018-112927L1Z9H187B3ZRAZFZWEHD3WWJ";"";
"number_of_terminations";"2";"";
"element_type";"Thin Film";"";
