"Symbol";"Value";"Unit";
"TE_904566_1";"180";"";
"TE_905452";"-35 – 85";"";
"TraceParts.PartLanguage";"en";"";
"TE_904570";"PPS";"";
"TE_120662";"Printed Circuit Board";"";
"TE_120623";"Surface Mount";"";
"TE_902394";"Copper Alloy";"";
"TE_905216_2";".196";"";
"TE_905408";"J Style";"";
"TE_904491";"Without";"";
"TE_905216_1";"5";"";
"TE_904496";"Yes";"";
"SUPPLIER";"TE Connectivity";"";
"TE_905745";"PPS";"";
"REFERENCE";"147873-1";"";
"TE_904408";"No";"";
"TE_904565";"Black";"";
"Alias_1";"";"";
"TE_905596";"Without";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"Tactile Switches";"";
"DESIGN";"SWITCH,TACT,SMT,J-LEAD,5.0MM";"";
"TE_120619";"50";"";
"TE_905662";"Unthreaded";"";
"TraceParts.PartVersion";"1.0.5";"";
"TraceParts.PartNumber";"10-30072018-105636";"";
"TE_904226";"With";"";
"TE_904571";"Extended";"";
"TE_904572";"Rectangular";"";
"TE_904343";"1";"";
"TE_904474";"Without";"";
"TE_905669_1";"3";"";
"TE_904569_1";"1.5";"";
"TE_120624";"Vertical";"";
"TE_902171";"Brown";"";
"TE_905815";"Single Pole - Single Throw";"";
"URL";"https://www.te.com/usa-en/product-147873-1.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_120655";"Switch";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_120654";"Tape & Reel";"";
"TE_905669_2";".11";"";
"TE_905571";"No";"";
"TE_904181";"With";"";
"TE_120648";"";"";
"TE_120649";"Stainless Steel";"";
"TE_904569_2";".059";"";
"TraceParts.ClassPath";"TE_CONNECTIVITY_GLOBAL:10-30072018-105636";"";
"TE_905334";"With";"";
"Series";"";"";
"TraceParts.InstanceId";"10-30072018-1056366AUUFPATEW64NT8R60KP6YESS";"";
"TE_905420";"NO";"";
"TraceParts.PartStatus";"Published";"";
"TE_904035";"With";"";
"TE_905498";"Silver";"";
"TE_904566_2";"6.349";"";
