"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"Solid_Wire_Section_mm_2";"0.0509 to 0.823 (mm²)";"";
"Compliance";"Lead free / RoHS";"";
"TraceParts.PartLanguage";"en";"";
"Culus";"E315414";"";
"Operating_Temperature";"-40 °C up to +105 °C";"";
"Torque";"0.15 Nm";"";
"Stranded_Wire_Section_mm_2";"0.0509 to 0.823 (mm²)";"";
"Insulator_Material";"PA66";"";
"Solder_Profile";"JEDEC lead free wave soldering process";"";
"Locking_sytem";"Rising cage clamp";"";
"TraceParts.PartVersion";"1.1.2";"";
"Working_Voltage_cULus_VAC";"150";"";
"Screw";"M1.6";"";
"REFERENCE";"691210910002";"";
"Screw_Nut_Plating";"Zinc";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"WÜRTH ELEKTRONIK - ELECTROMECHANICAL COMPONENTS - TBL-Terminal Blocks - Rising Cage - 2.54 mm";"";
"DESIGN";"ConTBL Serie 2109 Horizontal Entry with Rising Cage Clamp _2,54 (mm)";"";
"Pitch";"2.54 (mm)";"";
"SUPPLIER";"WÜRTH ELEKTRONIK";"";
"Contact_Material";"Brass";"";
"TraceParts.PartNumber";"10-05032015-068352";"";
"Solid_Wire_Gauge";"18 to 30 (AWG)";"";
"Wire_Guard";"Copper Alloy";"";
"Orientation";"Horizontal ";"";
"Packaging";"Box";"";
"Insulator_Flammability_Rating";"UL94-V0";"";
"Rated_Current_cULus_A";"6";"";
"TRACEPARTS";"TRACEPARTS";"";
"Wire_Strip_Lenght";"4 up to 5 (mm)";"";
"Insulator_Colour";"Green";"";
"Contact_Resistance_cULus_mOHM";"20";"";
"Stranded_Wire_Gauge";"18 to 30 (AWG)";"";
"Screw_Nut_Material";"Steel";"";
"Contact_Plating";"Tin";"";
"TraceParts.ClassPath";"WURTH_ELEKTRONIK:/F_WURTH/WURTH.010/WURTH.010.060/WURTH.010.060.020/WURTH.010.060.020.010/10-05032015-068352";"";
"TraceParts.InstanceId";"10-05032015-0683527SEXX6GF6AMSO5NZ4M2NJEBH2";"";
"Mating_Type";"Fix";"";
"Withstanding_Voltage_Culus_KVAC_min";"1.3";"";
"Standard_Polarities";"02;03;04;05;06;08";"";
